track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4dXnS1YXBkn4oAIxRLPJcK,0.536,0.678,0.352,5.29e-05,8,0.11,-12.019,0,0.0317,129.92,0.397
2rMFawCg4BW65jzbwztXAV,0.352,0.459,0.623,0.0,1,0.131,-4.45,1,0.0489,126.014,0.205
2dJ4rGtsOHOgvTQawsCRtg,0.2,0.629,0.578,0.0,1,0.151,-4.704,1,0.0428,79.94,0.211
6Yqmv7XJLCrQEauMbPGZSw,0.38,0.648,0.631,0.0,4,0.12,-5.662,0,0.104,105.989,0.142
5bJ1DrEM4hNCafcDd1oxHx,0.367,0.52,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,0.177
2Yv2mHzr5AQavVdwQjEokV,0.474,0.677,0.33,0.000871,2,0.064,-11.198,1,0.149,68.985,0.336
1kwnxJNVl7cwcU98RvMBaR,0.754,0.828,0.182,0.0706,1,0.15,-13.066,0,0.166,147.279,0.231
3cjF2OFRmip8spwZYQRKxP,0.0312,0.582,0.677,6.6e-06,7,0.122,-7.081,1,0.172,193.818,0.205
2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,0.564
01z2fBGB8Hl3Jd3zXe4IXR,0.89,0.272,0.238,0.00925,2,0.275,-12.148,0,0.0349,83.507,0.119
4gT3mNJA8lnlkYFqGZ8IA2,0.814,0.516,0.546,4.5e-06,5,0.0995,-9.105,1,0.249,78.267,0.515
